productsku,total_ordered,name,stocklevel,restockingleadtime,sentimentscore,sentimentmagnitude,ratio,upr_total_ordered
GGOEGAAX0366,2, Women's Scoop Neck Tee White,81,18,0.6,1.6,0.024691358,0
GGOEGBJC019999,43,Collapsible Shopping Bag,117,11,0.5,0.9,0.367521368,3
GGOEGAAX0622,2, Infant Short Sleeve Tee White,55,19,0.6,0.9,0.036363636,0
GGOEGGCX056299,5,Gift Card - $25.00,107,10,0.6,0.9,0.046728972,0
GGOEYAFB073115,2, Men's Fleece Hoodie Black,175,17,0.5,0.9,0.011428571,0
GGOEGAAX0104,15, Men's 100% Cotton Short Sleeve Hero Tee White,749,12,0.2,0.9,0.020026702,1
GGOEGKWR060810,7, Bib Red,44,15,0.6,0.9,0.159090909,0
GGOEGOCB017499,319,Leatherette Journal,4978,36,0.5,0.9,0.064081961,26
GGOEGAAX0106,13, Men's 100% Cotton Short Sleeve Hero Tee Navy,29,6,0.2,0.9,0.448275862,1
GGOEGESQ016799,10,Plastic Sliding Flashlight,2561,14,0.5,0.9,0.003904725,0
GGOEGAAJ032716,8, Men's Long & Lean Tee Grey,26,17,0.6,0.9,0.307692308,0
GGOEA0CH077599,15,Android Hard Cover Journal,102,17,0.5,0.9,0.147058824,1
GGOEGAAJ032714,1, Men's Long & Lean Tee Grey,81,14,0.6,0.9,0.012345679,0
GGOEAHPJ004314,1,Android Stretch Fit Hat M/L,59,13,0.5,0.9,0.016949153,0
GGOEGAAJ080615,8, Men's Bike Short Sleeve Tee Charcoal,129,5,0.6,0.9,0.062015504,0
GGOEWFKA082999,6, Baby on Board Window Decal,415,11,0.6,0.9,0.014457831,0
GGOEGAAX0278,3, Women's Short Sleeve Hero Tee Black,121,16,0.2,0.9,0.024793388,0
GGOEGAWR061850,1, Infant Short Sleeve Tee Red,4,13,0.5,0.9,0.25,0
GGOEGAAB010514,6, Men's 100% Cotton Short Sleeve Hero Tee Black,1101,10,0.5,0.9,0.005449591,0
GGOEGAAX0680,5, Youth Baseball Raglan Heather/Black,28,13,0.6,0.9,0.178571429,0
GGOEGFKQ020799,34, Doodle Decal,2080,5,0.5,0.9,0.016346154,2
GGOEGAWR061848,7, Infant Short Sleeve Tee Red,18,19,0.6,0.9,0.388888889,0
GGOEGBRJ037299,3, Alpine Style Backpack,272,12,0.6,0.9,0.011029412,0
GGOEGAAX0037,146, Sunglasses,6805,5,0.5,0.9,0.021454813,12
GGOEGOCD078399,39, Leather Perforated Journal,1305,13,0.8,1.3,0.029885057,3
GGOEGHPB071610,3, Twill Cap,1755,5,0.8,1.3,0.001709402,0
GGOEGAEB027813,1, Women's Short Sleeve Hero Tee Black,252,11,0.8,1.3,0.003968254,0
GGOEGCNB021099,9,Seat Pack Organizer,304,11,-0.4,1.3,0.029605263,0
GGOEGDHC074099,334, 17oz Stainless Steel Sport Bottle,1390,13,0.8,1.3,0.24028777,27
GGOEGAFB035816,3, Men's  Zip Hoodie,41,10,0.8,1.3,0.073170732,0
GGOEGDHC018299,23, 22 oz Water Bottle,19678,4,0.9,1.3,0.001168818,1
GGOEGATJ060516,2, Women's Quilted Insulated Vest White,5,5,0.8,1.3,0.4,0
GGOEGAAX0655,2, Toddler Short Sleeve T-shirt Grey,123,5,0.8,1.3,0.016260163,0
GGOEAAAQ032013,6,Android Men's Short Sleeve Hero Tee White,95,15,0.9,1.3,0.063157895,0
GGOEGAAX0682,3, Youth Short Sleeve Tee Red,31,14,0.9,1.3,0.096774194,0
GGOEAAEJ033414,8,Android Men's Long Sleeve Badge Crew Tee Heather,95,13,0.8,1.3,0.084210526,0
GGOEGAAC035016,2, Men's Bayside Graphic Tee,3,14,0.9,1.3,0.666666667,0
GGOEGAEJ028015,6, Women's Short Sleeve Hero Tee Grey,138,16,0.8,1.3,0.043478261,0
GGOEWEBB082699,4, Mobile Phone Vent Mount,129,15,0.7,1.3,0.031007752,0
GGOEGOCL077699,20, Hard Cover Journal,2171,14,0.9,1.3,0.009212345,1
GGOEAAEH035213,4,Android Men's Vintage Henley,19,6,0.8,1.3,0.210526316,0
GGOEGAAX0606,1, Women's Convertible Vest-Jacket Black,48,10,-0.3,1.8,0.020833333,0
GGOEGAAX0334,2,Android Men's Long Sleeve Badge Crew Tee Heather,87,13,-0.1,1.8,0.022988506,0
GGOEGAAX0581,0, Women's Colorblock Tee White,0,8,0.8,2,,0
9182755,0, Men's Colorblock Tee White/Heather,0,14,0.3,0.5,,0
9184720,0, Women's Short Sleeve Hero Tee Sky Blue,0,16,0.3,0.5,,0
9182723,0, Men's 100% Cotton Short Sleeve Hero Tee White,0,11,0.3,0.5,,0
9180850,0,Ballpoint Stylus Pen,0,6,0.3,0.5,,0
9182772,0, Women's Performance Full Zip Jacket Black,0,14,0.3,0.5,,0
9183118,0, Women's Fleece Hoodie Black,0,6,0.3,0.5,,0
9183203,0, Device Holder Sticky Pad,0,8,0.3,0.5,,0
9183234,0, Learning Thermostat 3rd Gen-USA - Stainless Steel,0,8,0.2,0.5,,0
9182778,0, Women's Softshell Jacket Black/Grey,0,13,0.6,1,,0
9182780,0, Women's Shell Jacket Blue/Black,0,16,0.6,1,,0
9182980,0, Pet Feeding Mat,0,8,0.6,1,,0
9180757,0,Yoga Block,0,13,0.1,0.3,,0
9181573,0, Snapback Hat Black,0,12,0.1,0.3,,0
9181019,0, Tri-blend Hoodie Grey,0,19,0.1,0.3,,0
9182739,0, Men's Watershed Full Zip Hoodie Grey,0,14,0.2,0.3,,0
9182569,0, Men's  Zip Hoodie,0,10,0.4,0.6,,0
9182743,0, Men's Microfiber 1/4 Zip Pullover Blue/Indigo,0,7,0.4,0.6,,0
9182771,0, Women's 1/4 Zip Jacket Charcoal,0,6,0.4,0.6,,0
9182751,0, Men's Performance Full Zip Jacket Black,0,14,0.3,0.6,,0
9182737,0, Women's 3/4 Sleeve Baseball Raglan Heather/Black,0,17,0.4,0.6,,0
9182502,0, Women's Yoga Jacket Black,0,10,0.8,1.2,,0
9182785,0, Women's Lightweight Microfleece Jacket,0,8,0.8,1.2,,0
9184734,0, Learning Thermostat 3rd Gen-USA - Copper,0,19,0.7,1.2,,0
9180905,0, Men's Long Sleeve Raglan Ocean Blue,0,13,0.8,1.2,,0
9182742,0, Men's Convertible Vest-Jacket Pewter,0,17,0.8,1.2,,0
9183186,0, G Noise-reducing Bluetooth Headphones,0,11,0.8,1.2,,0
9181150,0,Gift Card - $250.00,0,12,0.4,0.7,,0
9180782,0,Seat Pack Organizer,0,7,0.4,0.7,,0
9182559,0,Android Men's Vintage Henley,0,12,0.4,0.7,,0
9183226,0,Android Luggage Tag,0,7,0.4,0.7,,0
9183228,0, Cam Indoor Security Camera - USA,0,10,0.4,0.7,,0
9182752,0, Men's Short Sleeve Performance Badge Tee Charcoal,0,19,0.4,0.7,,0
9182383,0, Men's Watershed Full Zip Hoodie Grey,0,7,0.9,1.4,,0
GGOEGAAX0349,0,Android BTTF Moonshot Graphic Tee,0,15,0.5,1.4,,0
GGOEWXXX0827,0, Women's Short Sleeve Tee,0,14,0.7,1.9,,0
GGOEGAAX0598,0, Men's Convertible Vest-Jacket Pewter,0,17,0.2,1.9,,0
9184676,0,UpCycled Handlebar Bag,0,7,0,0.1,,0
9180808,0,Basecamp Explorer Powerbank Flashlight,0,5,0,0.1,,0
9180862,0, Screen Cleaning Cloth,0,15,0,0.1,,0
9182765,0, Women's Convertible Vest-Jacket Sea Foam Green,0,10,0.1,0.2,,0
9183221,0, Leather Journal-Black,0,15,0,0.2,,0
9183223,0, Spiral Leather Journal,0,18,0.1,0.2,,0
9182726,0, Men's Long & Lean Tee Charcoal,0,18,0.1,0.2,,0
9180824,0,Foam Can and Bottle Cooler,0,16,0.2,0.4,,0
9181137,0, Alpine Style Backpack,0,14,0.2,0.4,,0
9180833,0,Rubber Grip Ballpoint Pen 4 Pack,0,5,0.2,0.4,,0
9184737,0, Pack of 9 Decal Set,0,14,0.2,0.4,,0
9182709,0,Android Women's Long Sleeve Blended Cardigan Grey,0,6,0.2,0.4,,0
9180748,0,Android Lunch Kit,0,12,0.2,0.4,,0
GGOEGDHB072099,0, Insulated Stainless Steel Bottle,0,16,0.2,0.4,,0
9180781,0,Suitcase Organizer Cubes,0,7,0.2,0.4,,0
9182173,0, Stylus Pen w/ LED Light,0,11,0.2,0.4,,0
GGOEWXXX0834,0, Women's Typography Short Sleeve Tee,0,18,0,0.4,,0
9183213,0,Android Hard Cover Journal,0,18,0.5,0.8,,0
9182722,0, Men's 100% Cotton Short Sleeve Hero Tee Navy,0,7,0.5,0.8,,0
9180814,0,Micro Wireless Earbud,0,5,0.5,0.8,,0
9180809,0, Flashlight,0,14,0.5,0.8,,0
9184620,0, Men's Performance Full Zip Jacket Black,0,9,0.5,0.8,,0
9182605,0, Women's Tee Grey,0,13,0.5,0.8,,0
9181139,0,Waterproof Backpack,0,18,0.5,0.8,,0
9183240,0,25L Classic Rucksack,0,5,0.7,1.1,,0
9183230,0, Protect Smoke + CO White Battery Alarm-USA,0,7,0.7,1.1,,0
9182781,0, Women's Short Sleeve Hero Tee Black,0,9,0.7,1.1,,0
9182721,0, Men's 100% Cotton Short Sleeve Hero Tee Black,0,5,0.7,1.1,,0
9182784,0, Women's Short Sleeve Hero Tee White,0,12,0.7,1.1,,0
9182714,0, Men's Long Sleeve Raglan Ocean Blue,0,18,0.6,0.9,,0
9180793,0,26 oz Double Wall Insulated Bottle,0,8,0.5,0.9,,0
9180766,0,Sport Bag,0,8,0.5,0.9,,0
9184675,0,UpCycled Bike Saddle Bag,0,8,0.5,0.9,,0
9184733,0, Learning Thermostat 3rd Gen-USA - White,0,11,0.6,0.9,,0
9183241,0,25L Classic Rucksack,0,16,0.9,1.3,,0
9183229,0, Cam Outdoor Security Camera - USA,0,18,0.8,1.3,,0
9183239,0,25L Classic Rucksack,0,19,0.8,1.3,,0
9182745,0, Men's Quilted Insulated Vest Black,0,9,0.9,1.3,,0
9183222,0, Leather Perforated Journal,0,7,0.8,1.3,,0
9180769,0, Laptop Backpack,0,7,0.8,1.3,,0
9183219,0, Leather Journal,0,9,0.8,1.3,,0
GGOEGEVB070599,0, G Noise-reducing Bluetooth Headphones,132,7,0.9,0.5,0,0
GGOEGAAX0365,0, Women's Scoop Neck Tee Black,73,6,0,0.5,0,0
GGOEGAAX0296,0, Women's Short Sleeve Tri-blend Badge Tee Grey,33,15,0,0.5,0,0
GGOEGAAX0339,0, Men's Vintage Badge Tee White,210,9,0.1,0.5,0,0
GGOEGAAX0683,0, Youth Short Sleeve T-shirt Royal Blue,5,17,0.3,0.5,0,0
GGOEGEHQ072599,0, 4400mAh Power Bank,65,7,0.4,0.5,0,0
GGOEGBFC018799,0,Electronics Accessory Pouch,568,29,0.4,1,0,0
GGOEGAAX0042,0,Android Stretch Fit Hat,41,16,0.6,1,0,0
GGOEGAAX0324,0,Android Men's Short Sleeve Tri-blend Hero Tee Grey,3,16,0.2,1,0,0
GGOEGAAX0592,0, Men's Airflow 1/4 Zip Pullover Black,8,9,-0.2,1.5,0,0
GGOEGAAX0746,0, Women's Short Sleeve Badge Tee Navy,8,17,0.6,1.5,0,0
GGOEGOAA017199,0,Rubber Grip Ballpoint Pen 4 Pack,1791,3,0.1,0.3,0,0
GGOEGAAX0329,0,Android Men's Long & Lean Badge Tee Charcoal,65,18,-0.3,0.3,0,0
GGOEGAAX0361,0,Android Women's Fleece Hoodie,21,13,-0.1,0.3,0,0
GGOEGOAR013599,0,Ballpoint Stylus Pen,942,5,0.2,0.3,0,0
GGOEGAAX0327,0, Men's Long & Lean Tee Grey,5,6,-0.1,0.3,0,0
GGOEGBPB082099,0,UpCycled Handlebar Bag,107,12,0.1,0.6,0,0
